,type,id,bnf_code,nm,ingredient,ddd,ddd_uomcd,paragraph,Route,Route_count,ddd_flag
36,vmp,324253001,0501050A0AAABAB,Azithromycin 200mg/5ml oral suspension,Azithromycin,300.0,258684004.0,Macrolides,Oral,1,1
37,vmp,29668711000001101,0501050A0AAAHAH,Azithromycin 200mg/5ml oral suspension sugar free,Azithromycin,300.0,258684004.0,Macrolides,Oral,1,1
38,vmp,324252006,0501050A0AAAAAA,Azithromycin 250mg capsules,Azithromycin dihydrate,300.0,258684004.0,Macrolides,Oral,1,1
39,vmp,11034311000001100,0501050A0AAAGAG,Azithromycin 250mg tablets,Azithromycin,300.0,258684004.0,Macrolides,Oral,1,1
40,vmp,370763001,,Azithromycin 500mg powder for solution for infusion vials,Azithromycin dihydrate,-9.223372036854776e+18,,Macrolides,Injectable,1,0
41,vmp,39733511000001103,0501050A0AAADAD,Azithromycin 500mg tablets,Azithromycin,300.0,258684004.0,Macrolides,Oral,1,1
42,vmp,323961007,0501023A0AAABAB,Aztreonam 1g powder for solution for injection vials,Aztreonam,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
43,vmp,323961007,0501023A0AAABAB,Aztreonam 1g powder for solution for injection vials,Aztreonam,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
44,vmp,323962000,0501023A0AAAAAA,Aztreonam 2g powder for solution for injection vials,Aztreonam,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
45,vmp,323962000,0501023A0AAAAAA,Aztreonam 2g powder for solution for injection vials,Aztreonam,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
46,vmp,323960008,0501023A0AAACAC,Aztreonam 500mg powder for solution for injection vials,Aztreonam,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
47,vmp,323960008,0501023A0AAACAC,Aztreonam 500mg powder for solution for injection vials,Aztreonam,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
48,vmp,17463011000001100,,Aztreonam 75mg powder and solvent for nebuliser solution vials,Aztreonam lysine,-9.223372036854776e+18,,Cephalosporins and other beta-lactams,Other,1,0
49,vmp,17463411000001109,0501023A0AAAFAF,Aztreonam 75mg powder and solvent for nebuliser solution vials with device,Aztreonam lysine,225.0,258684004.0,Cephalosporins and other beta-lactams,Other,1,1
50,vmp,24565811000001107,0501090V0AAAAAA,Bedaquiline 100mg tablets,Bedaquiline fumarate,86.0,258684004.0,Others,Oral,1,1
51,vmp,22683611000001109,1306010Y0AAABAB,Benzoyl peroxide 3% / Clindamycin 1% gel,Clindamycin phosphate,-9.223372036854776e+18,,Clindamycin and lincomycin,Topical,1,0
52,vmp,408140005,1306010Y0AAAAAA,Benzoyl peroxide 5% / Clindamycin 1% gel,Clindamycin phosphate,-9.223372036854776e+18,,Clindamycin and lincomycin,Topical,1,0
53,vmp,35910511000001102,1306010C0AAAYAY,Benzoyl peroxide 5% / Erythromycin 3% gel,Erythromycin,-9.223372036854776e+18,,Macrolides,Topical,1,0
54,vmp,21657211000001109,,Benzylpenicillin 0.15% eye drops,Benzylpenicillin sodium,-9.223372036854776e+18,,Penicillins,Topical,1,0
55,vmp,22085211000001101,,Benzylpenicillin 0.3% eye drops,Benzylpenicillin sodium,-9.223372036854776e+18,,Penicillins,Topical,1,0
56,vmp,21658111000001102,,Benzylpenicillin 0.3% eye drops preservative free,Benzylpenicillin sodium,-9.223372036854776e+18,,Penicillins,Topical,1,0
57,vmp,21658811000001109,,Benzylpenicillin 0.6% eye drops,Benzylpenicillin sodium,-9.223372036854776e+18,,Penicillins,Topical,1,0
58,vmp,323396003,0501011J0AAAFAF,Benzylpenicillin 1.2g powder for solution for injection vials,Benzylpenicillin sodium,3.6,258682000.0,Penicillins,Injectable,1,1
59,vmp,22097311000001100,,Benzylpenicillin 1.2g/50ml infusion bags,Benzylpenicillin sodium,-9.223372036854776e+18,,Penicillins,Injectable,1,0
60,vmp,21659511000001100,,Benzylpenicillin 6% eye drops,Benzylpenicillin sodium,-9.223372036854776e+18,,Penicillins,Topical,1,0
61,vmp,323398002,0501011J0AAABAB,Benzylpenicillin 600mg powder for solution for injection vials,Benzylpenicillin sodium,3.6,258682000.0,Penicillins,Injectable,1,1
62,vmp,323398002,0501011J0AAABAB,Benzylpenicillin 600mg powder for solution for injection vials,Benzylpenicillin sodium,3.6,258682000.0,Penicillins,Injectable,1,1
63,vmp,22085911000001105,,Benzylpenicillin 600mg/50ml infusion bags,Benzylpenicillin sodium,-9.223372036854776e+18,,Penicillins,Injectable,1,0
64,vmp,330953008,1201010E0AAABAB,Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops,Neomycin sulfate,-9.223372036854776e+18,,Aminoglycosides,Topical,1,0
65,vmp,330953008,1201010E0AAABAB,Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops,Neomycin sulfate,-9.223372036854776e+18,,Aminoglycosides,Topical,1,0
66,vmp,330953008,1201010E0AAABAB,Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops,Neomycin sulfate,-9.223372036854776e+18,,Aminoglycosides,Topical,1,0
67,vmp,331849001,1304000F0AACCCC,Betamethasone valerate 0.1% / Fusidic acid 2% cream,Fusidic acid,-9.223372036854776e+18,,Others,Topical,1,0
68,vmp,331851002,1304000F0AACBCB,Betamethasone valerate 0.1% / Neomycin 0.5% cream,Neomycin sulfate,-9.223372036854776e+18,,Aminoglycosides,Topical,1,0
69,vmp,331850001,1304000F0AACECE,Betamethasone valerate 0.1% / Neomycin 0.5% ointment,Neomycin sulfate,-9.223372036854776e+18,,Aminoglycosides,Topical,1,0
70,vmp,324455006,0501090C0AAAAAA,Capreomycin 1g powder for solution for injection vials,Capreomycin sulfate,1.0,258682000.0,Others,Injectable,1,1
71,vmp,323792004,0501021A0AAABAB,Cefaclor 125mg/5ml oral suspension,Cefaclor monohydrate,1.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
72,vmp,36134011000001105,0501021A0AAAJAJ,Cefaclor 125mg/5ml oral suspension sugar free,Cefaclor monohydrate,1.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
73,vmp,39735011000001107,0501021A0AAAAAA,Cefaclor 250mg capsules,Cefaclor monohydrate,1.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
74,vmp,323793009,0501021A0AAACAC,Cefaclor 250mg/5ml oral suspension,Cefaclor monohydrate,1.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
75,vmp,36134111000001106,0501021A0AAAKAK,Cefaclor 250mg/5ml oral suspension sugar free,Cefaclor monohydrate,1.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
76,vmp,36134211000001100,0501021A0AAAGAG,Cefaclor 375mg modified-release tablets,Cefaclor monohydrate,1.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
77,vmp,39735111000001108,0501021A0AAAEAE,Cefaclor 500mg capsules,Cefaclor monohydrate,1.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
78,vmp,323811004,0501021B0AAABAB,Cefadroxil 125mg/5ml oral suspension,Cefadroxil monohydrate,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
79,vmp,323812006,0501021B0AAACAC,Cefadroxil 250mg/5ml oral suspension,Cefadroxil monohydrate,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
80,vmp,39735211000001102,0501021B0AAAAAA,Cefadroxil 500mg capsules,Cefadroxil monohydrate,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
81,vmp,323816009,0501021B0AAADAD,Cefadroxil 500mg/5ml oral suspension,Cefadroxil monohydrate,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
82,vmp,323887008,0501021L0AAACAC,Cefalexin 125mg/5ml oral suspension,Cefalexin,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
83,vmp,4865011000001104,0501021L0AAANAN,Cefalexin 125mg/5ml oral suspension sugar free,Cefalexin,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
84,vmp,39735311000001105,0501021L0AAAAAA,Cefalexin 250mg capsules,Cefalexin,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
85,vmp,39684111000001105,0501021L0AAAGAG,Cefalexin 250mg tablets,Cefalexin,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
86,vmp,323888003,0501021L0AAADAD,Cefalexin 250mg/5ml oral suspension,Cefalexin,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
87,vmp,4515811000001108,0501021L0AAAPAP,Cefalexin 250mg/5ml oral suspension sugar free,Cefalexin,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
88,vmp,39694811000001102,0501021L0AAABAB,Cefalexin 500mg capsules,Cefalexin,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
89,vmp,39735911000001106,0501021L0AAAHAH,Cefalexin 500mg tablets,Cefalexin,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
90,vmp,36134311000001108,0501021L0AAAEAE,Cefalexin 500mg/5ml oral suspension,Cefalexin,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
91,vmp,4457111000001107,0501020T0AAABAB,Cefamandole 1g powder for solution for injection vials,Cefamandole nafate,6.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
92,vmp,4457111000001107,0501020T0AAABAB,Cefamandole 1g powder for solution for injection vials,Cefamandole nafate,6.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
93,vmp,323936009,0501020V0AAABAB,Cefazolin 1g powder for solution for injection vials,Cefazolin sodium,3.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
94,vmp,323936009,0501020V0AAABAB,Cefazolin 1g powder for solution for injection vials,Cefazolin sodium,3.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
95,vmp,33631211000001106,0501020V0AAADAD,Cefazolin 2g powder for solution for injection vials,Cefazolin sodium,3.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
96,vmp,323935008,0501020V0AAAAAA,Cefazolin 500mg powder for solution for injection vials,Cefazolin sodium,3.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
97,vmp,323935008,0501020V0AAAAAA,Cefazolin 500mg powder for solution for injection vials,Cefazolin sodium,3.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
98,vmp,36458411000001105,0501020ADAAAAAA,Cefepime 1g powder for solution for injection vials,Cefepime dihydrochloride monohydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
99,vmp,36458411000001105,0501020ADAAAAAA,Cefepime 1g powder for solution for injection vials,Cefepime dihydrochloride monohydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
100,vmp,36458511000001109,0501020ADAAABAB,Cefepime 2g powder for solution for injection vials,Cefepime dihydrochloride monohydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
101,vmp,36458511000001109,0501020ADAAABAB,Cefepime 2g powder for solution for injection vials,Cefepime dihydrochloride monohydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
102,vmp,36134411000001101,0501021C0AAABAB,Cefixime 100mg/5ml oral suspension,Cefixime,400.0,258684004.0,Cephalosporins and other beta-lactams,Oral,1,1
103,vmp,323973007,0501021C0AAAAAA,Cefixime 200mg tablets,Cefixime,400.0,258684004.0,Cephalosporins and other beta-lactams,Oral,1,1
104,vmp,370375008,0501021C0AAACAC,Cefixime 400mg tablets,Cefixime,400.0,258684004.0,Cephalosporins and other beta-lactams,Oral,1,1
105,vmp,323825003,0501021D0AAABAB,Cefotaxime 1g powder for solution for injection vials,Cefotaxime sodium,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
106,vmp,323825003,0501021D0AAABAB,Cefotaxime 1g powder for solution for injection vials,Cefotaxime sodium,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
107,vmp,4558311000001100,0501021D0AAACAC,Cefotaxime 2g powder for solution for injection vials,Cefotaxime sodium,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
108,vmp,4558311000001100,0501021D0AAACAC,Cefotaxime 2g powder for solution for injection vials,Cefotaxime sodium,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
109,vmp,323824004,0501021D0AAAAAA,Cefotaxime 500mg powder for solution for injection vials,Cefotaxime sodium,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
110,vmp,323824004,0501021D0AAAAAA,Cefotaxime 500mg powder for solution for injection vials,Cefotaxime sodium,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
111,vmp,323829009,0501021E0AAADAD,Cefoxitin 1g powder for solution for injection vials,Cefoxitin sodium,6.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
112,vmp,323829009,0501021E0AAADAD,Cefoxitin 1g powder for solution for injection vials,Cefoxitin sodium,6.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
113,vmp,323830004,0501021E0AAAEAE,Cefoxitin 2g powder for solution for injection vials,Cefoxitin sodium,6.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
114,vmp,323830004,0501021E0AAAEAE,Cefoxitin 2g powder for solution for injection vials,Cefoxitin sodium,6.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
115,vmp,323999000,050102020AAAAAA,Cefpirome 1g powder for solution for injection vials,Cefpirome sulfate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
116,vmp,324000003,050102020AAABAB,Cefpirome 2g powder for solution for injection vials,Cefpirome sulfate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
117,vmp,323982001,0501021F0AAAAAA,Cefpodoxime 100mg tablets,Cefpodoxime proxetil,400.0,258684004.0,Cephalosporins and other beta-lactams,Oral,1,1
118,vmp,35369711000001108,0501021F0AAABAB,Cefpodoxime 40mg/5ml oral suspension,Cefpodoxime proxetil,400.0,258684004.0,Cephalosporins and other beta-lactams,Oral,1,1
119,vmp,324003001,0501020AAAAAAAA,Cefprozil 250mg tablets,Cefprozil,1.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
120,vmp,324005008,0501020AAAAACAC,Cefprozil 250mg/5ml oral suspension,Cefprozil,1.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
121,vmp,324004007,0501020AAAAABAB,Cefprozil 500mg tablets,Cefprozil,1.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
122,vmp,323948007,0501021M0AAADAD,Cefradine 1g powder for solution for injection vials,Cefradine,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
123,vmp,323948007,0501021M0AAADAD,Cefradine 1g powder for solution for injection vials,Cefradine,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
124,vmp,323944009,0501021M0AAAAAA,Cefradine 250mg capsules,Cefradine,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
125,vmp,36134511000001102,0501021M0AAAFAF,Cefradine 250mg/5ml oral solution,Cefradine,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
126,vmp,323945005,0501021M0AAABAB,Cefradine 500mg capsules,Cefradine,2.0,258682000.0,Cephalosporins and other beta-lactams,Oral,1,1
127,vmp,323947002,0501021M0AAACAC,Cefradine 500mg powder for solution for injection vials,Cefradine,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
128,vmp,323947002,0501021M0AAACAC,Cefradine 500mg powder for solution for injection vials,Cefradine,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
129,vmp,323854009,0501021H0AAABAB,Ceftazidime 1g powder for solution for injection vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
130,vmp,323854009,0501021H0AAABAB,Ceftazidime 1g powder for solution for injection vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
131,vmp,22098511000001105,,Ceftazidime 1g/25ml solution for infusion pre-filled syringes,Ceftazidime pentahydrate,-9.223372036854776e+18,,Cephalosporins and other beta-lactams,Injectable,1,0
132,vmp,22097911000001104,,Ceftazidime 1g/50ml infusion bags,Ceftazidime pentahydrate,-9.223372036854776e+18,,Cephalosporins and other beta-lactams,Injectable,1,0
133,vmp,22455011000001109,,Ceftazidime 1g/50ml solution for infusion pre-filled injection devices,Ceftazidime pentahydrate,-9.223372036854776e+18,,Cephalosporins and other beta-lactams,Injectable,1,0
134,vmp,323852008,0501021H0AAADAD,Ceftazidime 250mg powder for solution for injection vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
135,vmp,323852008,0501021H0AAADAD,Ceftazidime 250mg powder for solution for injection vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
136,vmp,34179911000001103,,Ceftazidime 2g / Avibactam 500mg powder for solution for infusion vials,Ceftazidime pentahydrate,-9.223372036854776e+18,,Cephalosporins and other beta-lactams,Injectable,1,0
137,vmp,323856006,,Ceftazidime 2g intravenous infusion vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
138,vmp,323855005,0501021H0AAACAC,Ceftazidime 2g powder for solution for injection vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
139,vmp,323855005,0501021H0AAACAC,Ceftazidime 2g powder for solution for injection vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
140,vmp,323849000,0501021H0AAAHAH,Ceftazidime 3g powder for solution for injection vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
141,vmp,323849000,0501021H0AAAHAH,Ceftazidime 3g powder for solution for injection vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
142,vmp,323853003,0501021H0AAAAAA,Ceftazidime 500mg powder for solution for injection vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
143,vmp,323853003,0501021H0AAAAAA,Ceftazidime 500mg powder for solution for injection vials,Ceftazidime pentahydrate,4.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
144,vmp,31007811000001109,,Ceftolozane 1g / Tazobactam 500mg powder for solution for infusion vials,Tazobactam sodium,-9.223372036854776e+18,,Penicillins,Injectable,1,0
145,vmp,323990001,0501021G0AAACAC,Ceftriaxone 1g powder for solution for injection vials,Ceftriaxone sodium,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
146,vmp,323990001,0501021G0AAACAC,Ceftriaxone 1g powder for solution for injection vials,Ceftriaxone sodium,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
147,vmp,323989005,0501021G0AAABAB,Ceftriaxone 250mg powder for solution for injection vials,Ceftriaxone sodium,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
148,vmp,323989005,0501021G0AAABAB,Ceftriaxone 250mg powder for solution for injection vials,Ceftriaxone sodium,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
149,vmp,23107411000001109,,Ceftriaxone 2g powder for solution for infusion vials,Ceftriaxone sodium,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
150,vmp,23107411000001109,,Ceftriaxone 2g powder for solution for infusion vials,Ceftriaxone sodium,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
151,vmp,323991002,0501021G0AAADAD,Ceftriaxone 2g powder for solution for injection vials,Ceftriaxone sodium,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
152,vmp,323991002,0501021G0AAADAD,Ceftriaxone 2g powder for solution for injection vials,Ceftriaxone sodium,2.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
153,vmp,4557611000001106,0501021J0AAACAC,Cefuroxime 1.5g powder for injection vials,Cefuroxime sodium,3.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
154,vmp,4557611000001106,0501021J0AAACAC,Cefuroxime 1.5g powder for injection vials,Cefuroxime sodium,3.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
155,vmp,23683311000001109,,Cefuroxime 1.5g/100ml infusion bags,Cefuroxime sodium,-9.223372036854776e+18,,Cephalosporins and other beta-lactams,Injectable,1,0
156,vmp,35893011000001107,,Cefuroxime 1.5g/50ml infusion bags,Cefuroxime sodium,-9.223372036854776e+18,,Cephalosporins and other beta-lactams,Injectable,1,0
157,vmp,323874002,0501021K0AAADAD,Cefuroxime 125mg granules sachets,Cefuroxime axetil,500.0,258684004.0,Cephalosporins and other beta-lactams,Oral,1,1
158,vmp,39684511000001101,0501021K0AAAAAA,Cefuroxime 125mg tablets,Cefuroxime axetil,500.0,258684004.0,Cephalosporins and other beta-lactams,Oral,1,1
159,vmp,323872003,0501021K0AAACAC,Cefuroxime 125mg/5ml oral suspension,Cefuroxime axetil,500.0,258684004.0,Cephalosporins and other beta-lactams,Oral,1,1
160,vmp,323880005,0501021J0AAAAAA,Cefuroxime 250mg powder for injection vials,Cefuroxime sodium,3.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
161,vmp,323880005,0501021J0AAAAAA,Cefuroxime 250mg powder for injection vials,Cefuroxime sodium,3.0,258682000.0,Cephalosporins and other beta-lactams,Injectable,1,1
162,vmp,39694611000001101,0501021K0AAABAB,Cefuroxime 250mg tablets,Cefuroxime axetil,500.0,258684004.0,Cephalosporins and other beta-lactams,Oral,1,1
163,vmp,30791311000001104,,Cefuroxime 3mg/0.3ml solution for injection pre-filled syringes,Cefuroxime sodium,-9.223372036854776e+18,,Cephalosporins and other beta-lactams,0,1,0
